nickname,name,nationality,team,total_kills,headshot_%,total_deaths,kills/deaths,damage/round,grenade_dmg/round,maps_played,rounds_played,kills/round,assists/round,deaths/round,saved_by_teammate/round,saved_teammates/round,rating
rallen,Karol Rodowicz,Poland,Anonymo,33417.0,43.0,30448.0,1.1,82.0,7.4,1738.0,46403.0,0.72,0.16,0.66,0.09,0.09,01.05
Rainwaker,Aleks Petrov,Bulgaria,SKADE,17790.0,43.0,16210.0,1.1,77.7,4.5,942.0,25374.0,0.7,0.13,0.64,0.08,0.1,1.11
ISSAA,Issa Murad,Jordan,No team,16229.0,55.5,14827.0,01.09,75.7,3.6,870.0,22834.0,0.71,0.12,0.65,0.1,0.11,01.05
TeSeS,René Madsen,Denmark,Heroic,14598.0,55.4,13600.0,01.07,78.6,4.4,758.0,20257.0,0.72,0.13,0.67,0.11,0.12,1.11
KRIMZ,Freddy Johansson,Sweden,fnatic,31816.0,40.7,28774.0,1.11,76.6,4.2,1719.0,45221.0,0.7,0.15,0.64,0.09,0.1,01.05
bottle,Lei Mao,China,Invictus,14262.0,56.8,13414.0,01.06,79.5,3.6,756.0,19492.0,0.73,0.14,0.69,0.1,0.1,01.05
Grim,Michael Wince,United States,Extra Salt,15413.0,48.0,14655.0,01.05,78.1,3.6,817.0,21472.0,0.72,0.14,0.68,0.12,0.13,1.1
Ramz1kBO$$,Ramazan Bashizov,Kazakhstan,Golden Knights,8110.0,33.8,7557.0,01.07,75.9,1.5,425.0,11070.0,0.73,0.1,0.68,0.07,0.08,01.09
cajunb,René Borg,Denmark,No team,31737.0,41.1,28859.0,1.1,73.5,3.1,1732.0,45317.0,0.7,0.12,0.64,0.09,0.1,01.05
HZ,Zhen Huang,China,TSG,9305.0,49.4,8614.0,01.08,81.7,3.8,500.0,12856.0,0.72,0.17,0.67,0.13,0.12,01.05
Qikert,Aleksei Golubev,Kazakhstan,Virtus.pro,22314.0,56.4,20324.0,1.1,77.8,4.7,1198.0,31659.0,0.7,0.13,0.64,0.1,0.1,1.11
mou,Rustem Telepov,Kazakhstan,No team,28048.0,28.0,25564.0,1.1,73.9,4.0,1489.0,39475.0,0.71,0.11,0.65,0.08,0.09,01.05
juanflatroo,Flatron Halimi,Albania,BLINK,9989.0,57.1,9609.0,01.04,83.0,5.3,492.0,13165.0,0.76,0.13,0.73,0.09,0.1,1.1
refrezh,Ismail Ali,Denmark,Heroic,17195.0,49.6,15830.0,01.09,75.5,3.3,912.0,24288.0,0.71,0.11,0.65,0.1,0.1,01.09
Lucky,Philip Ewald,Denmark,Astralis,7565.0,40.7,6846.0,1.11,71.8,2.9,402.0,10843.0,0.7,0.09,0.63,0.09,0.1,01.08
JW,Jesper Wecksell,Sweden,No team,36334.0,36.7,33930.0,01.07,75.8,4.0,1899.0,49846.0,0.73,0.14,0.68,0.08,0.08,01.05
KEi,Kamil Pietkun,Poland,MONKE,12392.0,46.7,11800.0,01.05,82.9,4.8,621.0,16729.0,0.74,0.15,0.71,0.09,0.09,1.12
yay,Jaccob Whiteaker,United States,No team,12452.0,46.7,11848.0,01.05,77.6,3.4,653.0,17182.0,0.72,0.13,0.69,0.1,0.11,01.05
Aerial,Jani Jussila,Finland,HAVU,17286.0,41.5,16100.0,01.07,78.6,2.6,909.0,24089.0,0.72,0.15,0.67,0.11,0.11,1.11
WolfY,Adam Andersson,United States,ECSTATIC,8552.0,35.4,7689.0,1.11,72.2,3.1,463.0,12243.0,0.7,0.1,0.63,0.1,0.11,01.09
Bwills,Brendan Williams,United States,Orgless,12680.0,51.6,11776.0,01.08,78.7,6.2,689.0,17783.0,0.71,0.15,0.66,0.12,0.14,1.11
SicK,Hunter Mims,United States,No team,15002.0,49.8,13962.0,01.07,77.7,2.6,795.0,20701.0,0.72,0.13,0.67,0.1,0.12,01.05
flusha,Robin Rönnquist,Sweden,GORILLAZ,34156.0,42.1,31428.0,01.09,81.4,9.1,1837.0,48146.0,0.71,0.17,0.65,0.09,0.08,01.05
NEEX,Sebastian Trela,Poland,No team,8076.0,31.3,7502.0,01.08,71.5,1.6,429.0,11195.0,0.72,0.09,0.67,0.08,0.1,01.05
zeph,Charlie Dodd,Australia,No team,9663.0,50.0,9201.0,01.05,80.3,3.9,516.0,13136.0,0.74,0.14,0.7,0.1,0.1,1.11
loWel,Christian Garcia Antoran,Spain,No team,18549.0,47.5,16810.0,1.1,75.8,4.5,1008.0,26413.0,0.7,0.13,0.64,0.09,0.11,01.05
Flarich,Vadim Karetin,Latvia,No team,19389.0,55.2,17588.0,1.1,74.1,3.7,1058.0,28161.0,0.69,0.11,0.62,0.08,0.1,01.07
raafa,Rafael Lima,Brazil,No team,11650.0,27.4,10558.0,1.1,72.4,3.7,640.0,16832.0,0.69,0.11,0.63,0.07,0.08,01.07
twist,Simon Eliasson,Sweden,Savage,30239.0,41.0,28309.0,01.07,77.3,4.8,1596.0,42184.0,0.72,0.14,0.67,0.09,0.09,01.05
Zellsis,Jordan Montemurro,United States,No team,11657.0,46.4,10854.0,01.07,79.2,4.8,626.0,16210.0,0.72,0.15,0.67,0.1,0.11,1.11
DavCost,Vadim Vasilyev,Russia,GMT,22352.0,32.4,20513.0,01.09,74.1,3.2,1206.0,31755.0,0.7,0.12,0.65,0.08,0.09,01.05
cadiaN,Casper Møller,Denmark,Heroic,25806.0,27.8,23388.0,1.1,73.6,4.5,1402.0,37040.0,0.7,0.11,0.63,0.09,0.08,01.05
n0rb3r7,David Danielyan,Russia,K23,18457.0,50.9,17669.0,01.04,79.9,4.0,956.0,25563.0,0.72,0.13,0.69,0.08,0.07,01.09
rommi,Roman Golubev,Russia,Moralezz,9899.0,50.8,9295.0,01.06,81.1,3.7,516.0,13467.0,0.74,0.14,0.69,0.08,0.1,01.05
iM,Ivan Mihai,Romania,GamerLegion,13020.0,49.5,12440.0,01.05,81.9,3.7,662.0,17696.0,0.74,0.13,0.7,0.09,0.09,1.11
MarKE,Edgar Maldonado,Mexico,No team,16738.0,53.1,15379.0,01.09,79.0,5.2,925.0,23802.0,0.7,0.15,0.65,0.11,0.12,1.12
motm,Ian Hardy,United States,ATK,15465.0,51.5,14593.0,01.06,76.0,2.9,812.0,21394.0,0.72,0.11,0.68,0.11,0.12,01.09
afro,Aurélien Drapier,France,DBL PONEY,8307.0,36.5,7649.0,01.09,72.5,5.6,454.0,12018.0,0.69,0.11,0.64,0.09,0.09,01.08
kabal,Batbayar Bat-Enkh,Mongolia,Checkmate,13743.0,46.0,12697.0,01.08,77.8,4.6,738.0,19360.0,0.71,0.13,0.66,0.08,0.09,01.09
Kjaerbye,Markus Kjærbye,Denmark,No team,28410.0,52.9,26300.0,01.08,78.6,3.9,1519.0,39947.0,0.71,0.14,0.66,0.09,0.1,01.04
Maden,Pavle Bošković,Montenegro,FunPlus Phoenix,11260.0,52.0,10795.0,01.04,80.6,5.4,575.0,15309.0,0.74,0.14,0.71,0.09,0.1,1.1
aumaN,ZhiHong Liu,China,ViCi,15613.0,41.7,14419.0,01.08,81.1,5.8,856.0,21958.0,0.71,0.16,0.66,0.08,0.08,01.04
fnx,Lincoln Lau,Brazil,Last Dance,11067.0,49.9,10215.0,01.08,81.0,6.0,605.0,15482.0,0.71,0.16,0.66,0.09,0.09,01.04
KHTEX,Dener Barchfield,Brazil,No team,10823.0,45.5,9900.0,01.09,75.5,4.3,598.0,15414.0,0.7,0.13,0.64,0.09,0.11,01.09
Marcelious,Ole Kristian Langan,Norway,No team,8629.0,31.1,8072.0,01.07,73.7,3.1,451.0,12207.0,0.71,0.1,0.66,0.1,0.11,01.07
stavn,Martin Lund,Denmark,Heroic,20227.0,43.3,19021.0,01.06,80.8,3.9,1047.0,27904.0,0.72,0.14,0.68,0.1,0.1,1.11
malta,Liam Schembri,Australia,No team,16643.0,39.5,15316.0,01.09,77.0,3.6,943.0,24008.0,0.69,0.15,0.64,0.09,0.08,1.1
zewsy,Ryan Palmer,New Zealand,No team,11142.0,41.0,10475.0,01.06,79.0,3.4,618.0,15666.0,0.71,0.16,0.67,0.11,0.1,01.04
STOMP,Daniel Płomiński,Poland,No team,15139.0,26.1,13810.0,1.1,73.3,3.9,809.0,21729.0,0.7,0.11,0.64,0.08,0.09,01.09
buster,Timur Tulepov,Kazakhstan,Virtus.pro,21779.0,48.1,19757.0,1.1,73.8,3.5,1204.0,31803.0,0.68,0.11,0.62,0.08,0.09,01.09
Snakes,Ryan Amann,United States,No team,7287.0,43.3,6826.0,01.07,77.3,4.5,403.0,10328.0,0.71,0.13,0.66,0.11,0.1,01.09
Hiko,Spencer Martin,United States,No team,16611.0,53.9,15079.0,1.1,71.6,5.0,937.0,24398.0,0.68,0.14,0.62,0.1,0.11,01.04
Geniuss,Kritthee Sawatmuang,Thailand,No team,7345.0,56.4,7036.0,01.04,78.5,3.3,398.0,10155.0,0.72,0.13,0.69,0.11,0.11,1.11
Lucky,Lucas Chastang,France,DBL PONEY,20033.0,41.6,18526.0,01.08,77.2,6.4,1087.0,28919.0,0.69,0.14,0.64,0.1,0.1,1.1
Snax,Janusz Pogorzelski,Poland,MONKE,38933.0,36.5,36148.0,01.08,74.8,4.4,2095.0,55249.0,0.7,0.13,0.65,0.08,0.08,01.04
eraa,Sean Knutsson,Sweden,GamerLegion,8730.0,33.2,8180.0,01.07,73.9,3.3,452.0,12234.0,0.71,0.1,0.67,0.09,0.09,01.06
HSK,Hae-Sung Kim,Korea,No team,9678.0,31.1,8833.0,1.1,75.2,4.5,540.0,13851.0,0.7,0.14,0.64,0.12,0.12,01.04
Reality,Manutsawat Sangphadung,Thailand,No team,6626.0,31.2,6167.0,01.07,73.7,3.5,367.0,9374.0,0.71,0.11,0.66,0.09,0.09,01.07
JUST,Tiago Moura,Portugal,SAW,14033.0,55.3,13196.0,01.06,75.8,5.4,765.0,20177.0,0.7,0.13,0.65,0.1,0.11,01.04
Kntz,Krit Chaiprasit,Thailand,NKT,8655.0,47.4,8026.0,01.08,76.2,2.7,473.0,12167.0,0.71,0.12,0.66,0.1,0.11,01.08
Bubzkji,Lucas Andersen,Denmark,Astralis,15534.0,50.8,14571.0,01.07,80.4,5.4,817.0,21619.0,0.72,0.14,0.67,0.09,0.1,01.04
phzy,Love Smidebrant,Sweden,Young Ninjas,7064.0,29.2,6445.0,1.1,72.2,2.3,384.0,10315.0,0.68,0.1,0.62,0.08,0.08,01.07
ANDROID,Bradley Fodor,Canada,No team,15394.0,50.7,14358.0,01.07,75.7,3.0,835.0,21741.0,0.71,0.13,0.66,0.1,0.12,01.04
LOVEYY,KunHua Bai,China,No team,12939.0,52.0,12240.0,01.06,78.0,3.5,708.0,17977.0,0.72,0.15,0.68,0.11,0.11,01.04
land1n,Paulo Felipe,Brazil,Los Grandes,13113.0,31.1,11917.0,1.1,69.8,2.3,744.0,19462.0,0.67,0.11,0.61,0.08,0.09,01.04
imoRR,Ömer Karataş,Turkey,Eternal Fire,10082.0,50.4,9886.0,01.02,80.6,4.1,517.0,13781.0,0.73,0.13,0.72,0.1,0.09,1.11
jkaem,Joakim Myrbostad,Norway,Apeks,22605.0,51.8,21722.0,01.04,79.5,3.6,1181.0,31149.0,0.73,0.14,0.7,0.11,0.11,01.04
DiMKE,Dimitrije Veljković,Serbia,4glory,10635.0,47.1,10103.0,01.05,79.5,4.2,571.0,14931.0,0.71,0.15,0.68,0.11,0.13,01.04
Davidp,David Prins,Belgium,No team,14255.0,39.7,13246.0,01.08,77.9,7.6,774.0,20539.0,0.69,0.14,0.64,0.07,0.08,01.03
tb,BingYuan Li,China,TCG,11088.0,49.9,10380.0,01.07,76.7,3.5,619.0,15737.0,0.7,0.15,0.66,0.11,0.11,01.03
max,Maximiliano Gonzalez,Uruguay,9z,9176.0,45.9,8591.0,01.07,78.9,3.9,494.0,13014.0,0.71,0.14,0.66,0.11,0.1,1.11
sjuush,Rasmus Beck,Denmark,Heroic,13658.0,53.0,12765.0,01.07,75.9,3.8,752.0,19874.0,0.69,0.13,0.64,0.1,0.11,01.09
dEE,Miloš Marčeta,Serbia,4glory,8169.0,33.5,7618.0,01.07,72.7,2.9,439.0,11583.0,0.71,0.1,0.66,0.09,0.1,01.07
smiley,Algat Abdul,Kazakhstan,Unique,7612.0,28.6,6989.0,01.09,73.1,3.2,409.0,11051.0,0.69,0.1,0.63,0.09,0.09,01.08
tarik,Tarik Celik,United States,No team,26620.0,37.8,25304.0,01.05,76.8,2.9,1438.0,37326.0,0.71,0.14,0.68,0.11,0.1,01.03
rAge,Dmitry Bolotov,Ukraine,No team,6850.0,31.8,6166.0,1.11,71.2,4.5,382.0,10184.0,0.67,0.1,0.61,0.07,0.09,01.07
NK4Y,Nikola Radushev,Bulgaria,No team,8697.0,62.1,8268.0,01.05,76.3,3.6,480.0,12325.0,0.71,0.14,0.67,0.1,0.11,01.07
USTILO,Karlo Pivac,Australia,ORDER,19924.0,46.1,19071.0,01.04,77.6,3.2,1094.0,28252.0,0.71,0.14,0.68,0.1,0.1,01.03
Subroza,Yassine Taoufik,Canada,No team,11748.0,48.4,11373.0,01.03,80.7,5.2,623.0,16275.0,0.72,0.15,0.7,0.09,0.09,1.1
FaNg,Justin Coakley,Canada,Extra Salt,10695.0,56.1,10108.0,01.06,77.1,4.0,576.0,14967.0,0.71,0.13,0.68,0.11,0.1,1.1
JonY BoY,Jonathan Muñoz,Argentina,Furious,7530.0,34.8,7146.0,01.05,75.3,3.7,418.0,10732.0,0.7,0.11,0.67,0.08,0.09,01.03
juho,Juho Lampinen,Finland,FcottoNd,14482.0,45.7,14204.0,01.02,79.0,2.3,752.0,19789.0,0.73,0.14,0.72,0.1,0.09,01.03
dobu,Gan-Erdene Batbold,Mongolia,Renewal,13902.0,54.5,13296.0,01.05,79.8,3.3,743.0,19453.0,0.71,0.15,0.68,0.1,0.1,01.03
captainMo,Ke Liu,China,Steel Helmet,14852.0,40.1,14192.0,01.05,74.3,2.5,807.0,20783.0,0.71,0.12,0.68,0.1,0.1,01.03
alex,Alejandro Masanet,Spain,Movistar Riders,22452.0,45.6,21046.0,01.07,76.4,4.5,1218.0,32238.0,0.7,0.14,0.65,0.09,0.11,01.03
cxzi,Danny Strzelczyk,United States,No team,7196.0,37.2,7042.0,01.02,81.6,4.9,379.0,9822.0,0.73,0.14,0.72,0.1,0.08,1.1
kressy,Marko Đorđević,Germany,cowana,19861.0,48.0,18644.0,01.07,75.8,3.8,1071.0,28697.0,0.69,0.13,0.65,0.1,0.1,01.08
REZ,Fredrik Sterner,Sweden,NIP,23384.0,49.4,22223.0,01.05,78.2,3.8,1264.0,33290.0,0.7,0.14,0.67,0.1,0.1,01.03
yam,Yaman Ergenekon,Australia,No team,9755.0,34.6,9105.0,01.07,74.5,4.9,547.0,14003.0,0.7,0.13,0.65,0.09,0.09,01.03
fleav,Fodor Levente,Hungary,Budapest Five,10361.0,40.8,10027.0,01.03,79.9,2.7,541.0,14235.0,0.73,0.13,0.7,0.09,0.1,01.08
F1KU,Maciej Miklas,Poland,AGO,10054.0,55.0,9697.0,01.04,77.9,4.9,528.0,14343.0,0.7,0.13,0.68,0.09,0.09,01.08
Relaxa,Joakim Gustafsson,Sweden,No team,21399.0,30.1,19453.0,1.1,72.4,4.3,1198.0,31928.0,0.67,0.12,0.61,0.09,0.09,01.03
szejn,Hubert Światły,Poland,MOUZ NXT,8640.0,51.5,8343.0,01.04,78.3,3.9,460.0,12292.0,0.7,0.13,0.68,0.09,0.09,01.07
Patsi,Robert Isyanov,Russia,Spirit,8346.0,45.4,8063.0,01.04,78.5,3.7,439.0,11769.0,0.71,0.13,0.69,0.11,0.1,01.09
znajder,Andreas Lindberg,Sweden,No team,19778.0,47.9,18708.0,01.06,76.8,4.3,1050.0,27577.0,0.72,0.15,0.68,0.1,0.1,01.03
DEV7L,Patrik Stuchlík,Czech Republic,No team,9988.0,34.2,9406.0,01.06,72.4,2.7,549.0,14256.0,0.7,0.1,0.66,0.09,0.1,01.03
AiyvaN,Ivan Semenets,Ukraine,GUESS,12635.0,37.8,12043.0,01.05,74.2,3.2,694.0,18045.0,0.7,0.11,0.67,0.1,0.1,01.03
flamie,Egor Vasilyev,Russia,1WIN,28354.0,54.4,26886.0,01.05,75.5,3.8,1535.0,40450.0,0.7,0.14,0.66,0.09,0.09,01.03
sLowi,Olli Pitkänen,Finland,HAVU,20388.0,51.6,19455.0,01.05,76.6,4.7,1087.0,29185.0,0.7,0.14,0.67,0.09,0.09,01.03
TRAVIS,Aleksandr Timkiv,Russia,1WIN,7720.0,55.2,7428.0,01.04,78.9,4.3,416.0,11015.0,0.7,0.14,0.67,0.1,0.08,1.1
rain,Håvard Nygaard,Norway,FaZe,28600.0,56.3,27764.0,01.03,80.0,3.4,1520.0,40176.0,0.71,0.15,0.69,0.1,0.09,01.03
JDC,Jon de Castro,Germany,MOUZ NXT,7359.0,51.7,7053.0,01.04,77.4,2.9,399.0,10433.0,0.71,0.13,0.68,0.1,0.11,01.07
stfN,Stefan Seier,Germany,cowana,24323.0,46.5,22898.0,01.06,75.8,4.0,1318.0,35023.0,0.69,0.14,0.65,0.1,0.12,01.03
Patitek,Patryk Fabrowski,Poland,No team,7153.0,51.6,6975.0,01.03,80.0,3.2,377.0,9918.0,0.72,0.13,0.7,0.1,0.1,01.08
fl0m,Erik Flom,United States,Mythic,11769.0,29.8,11151.0,01.06,74.2,3.5,636.0,16792.0,0.7,0.12,0.66,0.1,0.1,01.03
Xyp9x,Andreas Højsleth,Denmark,Astralis,32236.0,41.7,29683.0,01.09,75.5,6.2,1865.0,48491.0,0.66,0.16,0.61,0.08,0.09,01.03
aizy,Philip Aistrup,Denmark,No team,28791.0,50.4,27613.0,01.04,75.6,4.3,1563.0,41178.0,0.7,0.14,0.67,0.1,0.1,01.03
Krad,Vladislav Kravchenko,Russia,Entropiq,19669.0,49.1,18966.0,01.04,77.4,4.7,1060.0,28116.0,0.7,0.14,0.67,0.09,0.1,01.08
shuadapai,Wei Wang,China,R-Stars,9880.0,52.4,9388.0,01.05,76.0,3.5,549.0,14214.0,0.7,0.14,0.66,0.11,0.11,01.08
FrostMisty,Albert Giovanni,Indonesia,No team,6710.0,41.8,6299.0,01.07,79.0,2.8,376.0,9498.0,0.71,0.14,0.66,0.09,0.1,01.03
FASHR,Dion Derksen,Netherlands,ECSTATIC,11122.0,49.3,10779.0,01.03,78.2,5.2,598.0,15725.0,0.71,0.15,0.69,0.11,0.12,01.09
RIKO,Dylan Sabin-Arnce,United States,ChocoCheck,7573.0,52.7,7418.0,01.02,77.6,3.4,406.0,10568.0,0.72,0.13,0.7,0.1,0.11,01.06
Maluk3,Pedro Campos,Brazil,TeamOne,17261.0,29.2,16152.0,01.07,72.6,5.2,964.0,24987.0,0.69,0.11,0.65,0.09,0.09,01.07
dennis,Dennis Edman,Sweden,No team,29842.0,54.4,28702.0,01.04,76.5,4.0,1575.0,41834.0,0.71,0.12,0.69,0.09,0.1,01.03
food,Victor Wong,United States,No team,8248.0,50.2,7868.0,01.05,77.2,3.9,456.0,11711.0,0.7,0.14,0.67,0.11,0.11,01.03
pashaBiceps,Jarosław Jarząbkowski,Poland,No team,29501.0,37.3,28482.0,01.04,72.5,4.2,1592.0,41228.0,0.72,0.13,0.69,0.08,0.08,01.02
niko,Nikolaj Kristensen,Denmark,OG,21598.0,49.4,20490.0,01.05,75.2,4.2,1181.0,31195.0,0.69,0.13,0.66,0.1,0.11,01.02
hoody,Aaro Peltokangas,Finland,No team,10871.0,49.6,10469.0,01.04,77.2,3.7,575.0,15453.0,0.7,0.13,0.68,0.09,0.1,01.07
CyberFocus,Roman Dergach,Belarus,No team,9080.0,29.7,8760.0,01.04,74.2,2.0,491.0,12779.0,0.71,0.11,0.69,0.08,0.08,01.02
kolor,Ádám Domoszlay,Hungary,Budapest Five,10104.0,27.5,9780.0,01.03,73.5,2.1,545.0,14248.0,0.71,0.11,0.69,0.1,0.12,01.06
kai,Kaique Guidotti,Brazil,Los Grandes,8814.0,35.3,8399.0,01.05,75.9,4.4,483.0,12692.0,0.69,0.14,0.66,0.09,0.11,01.07
Forester,Igor Bezotecheskiy,Russia,Entropiq,20052.0,54.0,19125.0,01.05,76.2,3.3,1092.0,28936.0,0.69,0.13,0.66,0.09,0.09,01.07
NBK-,Nathan Schmitt,France,MOUZ,36741.0,53.6,35343.0,01.04,77.0,3.4,2025.0,52921.0,0.69,0.15,0.67,0.1,0.08,01.02
DeStiNy,Lucas Bullo,Brazil,Isurus,18800.0,50.8,18305.0,01.03,78.7,3.2,1009.0,26187.0,0.72,0.14,0.7,0.11,0.1,01.02
AmaNEk,François Delaunay,France,G2,18586.0,45.2,17373.0,01.07,74.7,4.6,1023.0,27484.0,0.68,0.13,0.63,0.09,0.09,01.02
mouz,Mikołaj Karolewski,Poland,HONORIS,30431.0,50.0,28631.0,01.06,74.4,3.2,1661.0,44146.0,0.69,0.13,0.65,0.09,0.1,01.02
Plopski,Nicolas Gonzalez Zamora,Sweden,NIP,17331.0,41.6,16462.0,01.05,77.3,4.9,936.0,24828.0,0.7,0.14,0.66,0.1,0.11,01.09
Spargo,Jarkko Rahja,Finland,KOVA,6978.0,33.1,6716.0,01.04,70.6,2.3,372.0,10044.0,0.69,0.09,0.67,0.09,0.09,01.05
Tuurtle,Matheus Anhaia,Brazil,MIBR,11726.0,54.7,11312.0,01.04,77.8,2.8,633.0,16643.0,0.7,0.14,0.68,0.1,0.11,01.09
dragonfly,Jacob Lund,Denmark,ex-Maknitude,9094.0,25.1,8592.0,01.06,70.8,3.1,507.0,13234.0,0.69,0.09,0.65,0.09,0.08,01.06
RCF,Rodrigo Figueiredo,Brazil,No team,11369.0,44.1,10910.0,01.04,75.0,2.9,613.0,16053.0,0.71,0.11,0.68,0.1,0.1,01.08
Thomas,Thomas Utting,United Kingdom,Endpoint,16233.0,41.8,15555.0,01.04,81.0,5.5,860.0,22850.0,0.71,0.17,0.68,0.11,0.11,1.11
MoeycQ,Mohammed Tizani,Australia,8Ballers,11485.0,36.8,11047.0,01.04,75.3,5.1,629.0,16341.0,0.7,0.13,0.68,0.09,0.09,01.02
Spongey,Gabe Greiner,United States,Bad News Bears,12480.0,50.7,11501.0,01.09,71.6,4.4,724.0,18774.0,0.66,0.12,0.61,0.1,0.12,01.06
HS,Kevin Tarn,Estonia,No team,20038.0,49.3,19637.0,01.02,78.5,4.9,1053.0,28179.0,0.71,0.15,0.7,0.1,0.11,01.02
jdm64,Josh Marzano,United States,No team,14626.0,23.6,13801.0,01.06,70.1,2.9,823.0,21321.0,0.69,0.1,0.65,0.1,0.09,01.02
ap0c,Mike Aliferis,Australia,LookingForOrg,15822.0,50.7,15328.0,01.03,77.7,5.0,873.0,22374.0,0.71,0.15,0.69,0.1,0.09,01.02
NENO,Anel Ceković,Macedonia,PORTUGAL,11482.0,42.5,10836.0,01.06,75.6,4.2,639.0,16528.0,0.69,0.14,0.66,0.09,0.09,01.02
bondik,Vladyslav Nechyporchuk,Ukraine,No team,26353.0,47.7,24897.0,01.06,74.6,5.3,1454.0,38215.0,0.69,0.13,0.65,0.09,0.1,01.02
MonttY,Martin Melišek,Slovakia,No team,9507.0,46.6,9169.0,01.04,77.3,1.9,522.0,13451.0,0.71,0.14,0.68,0.11,0.11,01.02
FANAT ROCKA,Vasiliy Trusov,Russia,VRTX,8262.0,27.1,7809.0,01.06,71.8,2.8,465.0,12150.0,0.68,0.11,0.64,0.08,0.09,01.02
apEX,Dan Madesclaire,France,Vitality,35956.0,52.0,35169.0,01.02,79.3,4.9,1916.0,50214.0,0.72,0.16,0.7,0.1,0.09,01.02
disco doplan,Joakim Gidetun,Sweden,No team,22193.0,43.9,21099.0,01.05,76.1,3.6,1207.0,32000.0,0.69,0.13,0.66,0.09,0.1,01.02
Nico,Nicolaj Jensen,Denmark,No team,6738.0,26.0,6191.0,01.09,80.6,4.9,399.0,10074.0,0.67,0.12,0.61,0.08,0.14,01.02
qqGOD,Phoomphat Phodjanat,Thailand,LZ,10674.0,40.9,10394.0,01.03,79.2,3.3,584.0,15180.0,0.7,0.16,0.68,0.09,0.09,01.02
es3tag,Patrick Hansen,Denmark,NIP,22359.0,35.7,21461.0,01.04,77.3,5.1,1233.0,32313.0,0.69,0.15,0.66,0.1,0.1,01.02
v1c7oR,Viktor Dyankov,Bulgaria,No team,33791.0,46.3,32579.0,01.04,76.6,4.5,1859.0,48493.0,0.7,0.16,0.67,0.12,0.11,01.02
iDk,Victor Torraca,Brazil,No team,14859.0,47.1,14319.0,01.04,78.5,4.7,817.0,21324.0,0.7,0.15,0.67,0.1,0.09,01.09
mar,Martin Kuyumdjiev,Bulgaria,Finest,12927.0,48.5,12487.0,01.04,79.1,6.6,699.0,18453.0,0.7,0.15,0.68,0.1,0.1,01.08
spaze,Ivan Obrezhan,Russia,MayBe,10281.0,52.0,10192.0,01.01,75.9,2.6,538.0,14117.0,0.73,0.14,0.72,0.1,0.11,01.02
KENSI,Aleksandr Gurkin,Russia,forZe,7480.0,56.0,7016.0,01.07,72.9,4.6,409.0,11038.0,0.68,0.12,0.64,0.09,0.09,01.06
TENZKI,Jesper Plougmann,Denmark,No team,26645.0,52.9,25282.0,01.05,76.9,4.4,1474.0,38768.0,0.69,0.14,0.65,0.09,0.1,01.02
Ace,Brandon Winn,United States,No team,7922.0,31.4,7352.0,01.08,68.5,2.3,456.0,11866.0,0.67,0.1,0.62,0.09,0.1,01.06
dimasick,Dmitry Matvienko,Kazakhstan,No team,10747.0,49.1,10300.0,01.04,75.9,3.5,585.0,15322.0,0.7,0.12,0.67,0.08,0.09,01.06
Swisher,Michael Schmid,United States,Orgless,9212.0,47.8,8999.0,01.02,78.6,5.3,500.0,13037.0,0.71,0.15,0.69,0.1,0.11,01.08
yel,Gustavo Knittel,Brazil,MIBR,16210.0,29.8,15167.0,01.07,71.6,3.0,927.0,23986.0,0.68,0.11,0.63,0.09,0.09,01.02
Markoś,Kuba Markowski,Poland,MONKE,11984.0,29.7,11189.0,01.07,71.8,3.2,661.0,17770.0,0.67,0.11,0.63,0.08,0.08,01.06
fox,Ricardo Pacheco,Portugal,SQUAD,19288.0,32.0,18748.0,01.03,75.5,3.2,1048.0,27373.0,0.7,0.13,0.68,0.1,0.09,01.02
Goofy,Krzysiek Gorski,Poland,Wisla Krakow,19184.0,41.5,18892.0,01.02,78.8,4.7,1000.0,27127.0,0.71,0.15,0.7,0.1,0.11,01.08
ROBO,Vladimir Neskey,Belarus,No team,12328.0,45.6,11700.0,01.05,74.0,2.7,667.0,17746.0,0.69,0.11,0.66,0.09,0.1,01.02
steel,Joshua Nissan,Canada,No team,11498.0,45.7,11237.0,01.02,80.0,4.8,616.0,16284.0,0.71,0.15,0.69,0.09,0.08,01.02
fr0slev,Magnus Frøslev,Denmark,No team,11143.0,48.0,10673.0,01.04,78.1,4.7,611.0,15973.0,0.7,0.14,0.67,0.1,0.12,01.08
LETN1,Nestor Tanić,Serbia,No team,19347.0,49.6,18183.0,01.06,72.8,3.6,1111.0,28880.0,0.67,0.13,0.63,0.1,0.1,01.02
n0thing,Jordan Gilbert,United States,No team,14720.0,52.6,14236.0,01.03,74.9,5.0,813.0,21021.0,0.7,0.15,0.68,0.1,0.1,01.02
SKYTTEN,Alexander Carlsson,Sweden,No team,7087.0,45.2,6759.0,01.05,79.8,4.0,382.0,10157.0,0.7,0.16,0.67,0.1,0.13,01.02
stadodo,Renato Gonçalves,Portugal,SAW,11954.0,40.8,11359.0,01.05,74.5,5.7,666.0,17544.0,0.68,0.13,0.65,0.1,0.09,01.09
Lekr0,Jonas Olofsson,Sweden,Dignitas,22688.0,51.4,21878.0,01.04,76.6,3.9,1228.0,32727.0,0.69,0.14,0.67,0.09,0.1,01.02
