nickname,name,nationality,team,total_kills,headshot_%,total_deaths,kills/deaths,damage/round,grenade_dmg/round,maps_played,rounds_played,kills/round,assists/round,deaths/round,saved_by_teammate/round,saved_teammates/round,rating
HaZR,Jared O'Bree,Australia,LookingForOrg,13741.0,55.9,12316.0,1.12,81.8,4.4,711.0,18199.0,0.76,0.14,0.68,0.11,0.11,1.15
h4rn,Deyvid Benchev,Bulgaria,No team,9651.0,29.2,8159.0,1.18,73.9,3.3,504.0,13414.0,0.72,0.1,0.61,0.09,0.09,1.13
moose,Kaleb Jayne,Canada,No team,14503.0,44.1,12528.0,1.16,79.2,2.0,752.0,19559.0,0.74,0.12,0.64,0.08,0.09,1.14
Farlig,Asger Jensen,Denmark,No team,12571.0,33.4,10842.0,1.16,72.9,2.3,644.0,17189.0,0.73,0.09,0.63,0.09,0.1,1.12
xccurate,Kevin Susanto,Indonesia,NKT,13120.0,31.3,11416.0,1.15,74.2,1.9,687.0,17816.0,0.74,0.1,0.64,0.1,0.1,1.1
lollipop21k,Igor Solodkov,Belarus,Nemiga,22736.0,49.2,20211.0,1.12,82.3,3.6,1125.0,30111.0,0.76,0.13,0.67,0.09,0.1,1.14
allu,Aleksi Jalli,Finland,ENCE,31189.0,28.6,26876.0,1.16,75.0,3.7,1607.0,42077.0,0.74,0.11,0.64,0.08,0.09,01.09
mixwell,Oscar Cañellas,Spain,No team,16275.0,38.1,14364.0,1.13,79.5,5.7,840.0,21804.0,0.75,0.13,0.66,0.1,0.1,01.09
floppy,Ricky Kemery,United States,Extra Salt,14413.0,49.3,12780.0,1.13,81.6,3.0,738.0,19350.0,0.74,0.14,0.66,0.11,0.14,1.16
Ax1Le,Sergey Rykhtorov,Russia,Gambit,16908.0,49.2,14638.0,1.16,80.0,5.1,878.0,23304.0,0.73,0.14,0.63,0.09,0.1,1.15
dumau,Eduardo Wolkmer,Brazil,GODSENT,7516.0,41.5,6406.0,1.17,79.2,4.6,385.0,10264.0,0.73,0.13,0.62,0.09,0.11,1.15
junior,Paytyn Johnson,United States,Extra Salt,7657.0,29.4,6413.0,1.19,72.0,2.2,410.0,10691.0,0.72,0.09,0.6,0.08,0.1,1.12
mezii,William Merriman,United Kingdom,fnatic,8606.0,49.6,7471.0,1.15,80.9,5.3,434.0,11822.0,0.73,0.14,0.63,0.09,0.12,1.15
GeT_RiGhT,Christopher Alesund,Sweden,No team,33271.0,49.3,28973.0,1.15,76.6,4.4,1745.0,45030.0,0.74,0.15,0.64,0.09,0.08,01.09
JUGi,Jakob Hansen,Denmark,No team,17527.0,27.8,14851.0,1.18,74.1,2.4,940.0,24427.0,0.72,0.1,0.61,0.08,0.1,01.09
Cooper,Austin Abadir,United States,No team,13963.0,32.1,12064.0,1.16,73.8,2.1,733.0,19009.0,0.73,0.09,0.63,0.09,0.1,1.12
syrsoN,Florian Rische,Germany,BIG,31439.0,29.8,27225.0,1.15,74.3,2.4,1621.0,42987.0,0.73,0.1,0.63,0.08,0.09,01.09
dennyslaw,Denislav Dimitrov,Bulgaria,SKADE,19510.0,31.9,17029.0,1.15,75.5,2.9,986.0,26487.0,0.74,0.1,0.64,0.08,0.1,1.12
faveN,Josef Baumann,Germany,BIG,24932.0,54.4,21918.0,1.14,79.1,3.3,1258.0,33574.0,0.74,0.12,0.65,0.1,0.12,1.14
PwnAlone,Josh Pigue,United States,Party Astronauts,15230.0,32.1,13300.0,1.15,76.1,3.2,803.0,21005.0,0.73,0.12,0.63,0.1,0.1,1.14
Sonic,Aran Groesbeek,South Africa,Extra Salt,17758.0,46.6,15541.0,1.14,78.5,4.3,940.0,24238.0,0.73,0.13,0.64,0.11,0.12,01.09
zehN,Jesse Linjala,Finland,FunPlus Phoenix,20665.0,46.0,18281.0,1.13,80.3,7.7,1073.0,28305.0,0.73,0.14,0.65,0.08,0.09,01.09
ZOREE,Lasse Uronen,Finland,No team,31695.0,32.2,27259.0,1.16,73.7,3.7,1653.0,43900.0,0.72,0.1,0.62,0.08,0.1,01.09
gas,Yi Ding,China,Wings Up,8850.0,60.3,8155.0,01.09,82.3,2.1,435.0,11363.0,0.78,0.12,0.72,0.09,0.12,1.12
biguzera,Rodrigo Bittencourt,Brazil,paiN,9717.0,51.9,8449.0,1.15,80.7,5.2,503.0,13393.0,0.73,0.15,0.63,0.1,0.1,1.15
ryx,Ronnie Bylicki,United States,No team,9797.0,36.3,8616.0,1.14,83.7,3.6,491.0,12856.0,0.76,0.16,0.67,0.09,0.12,01.09
BL1TZ,Peter Athanasatos,Australia,No team,13957.0,43.0,12329.0,1.13,75.2,2.4,732.0,18819.0,0.74,0.1,0.66,0.08,0.09,1.1
ScreaM,Adil Benrlitom,Belgium,No team,27501.0,68.1,24396.0,1.13,79.1,3.3,1430.0,37087.0,0.74,0.12,0.66,0.1,0.11,01.09
NAF,Keith Markovic,Canada,Liquid,28554.0,41.9,24754.0,1.15,81.3,5.7,1497.0,39283.0,0.73,0.15,0.63,0.1,0.11,01.09
cynic,David Polster,United States,Party Astronauts,10615.0,41.0,9297.0,1.14,80.9,5.3,551.0,14297.0,0.74,0.14,0.65,0.1,0.12,1.14
nython,Gabriel Lino,Brazil,Isurus,8106.0,39.0,7133.0,1.14,76.9,2.2,405.0,10816.0,0.75,0.11,0.66,0.09,0.1,1.13
Magisk,Emil Reif,Denmark,Vitality,25220.0,47.5,22006.0,1.15,79.9,5.6,1325.0,34833.0,0.72,0.15,0.63,0.09,0.1,01.09
k0nfig,Kristian Wienecke,Denmark,Astralis,28772.0,55.8,26328.0,01.09,81.2,2.8,1443.0,38136.0,0.75,0.13,0.69,0.1,0.1,01.09
exit,Raphael Lacerda,Brazil,MIBR,11461.0,45.2,9818.0,1.17,78.4,4.8,622.0,15947.0,0.72,0.14,0.62,0.1,0.12,1.13
dupreeh,Peter Rasmussen,Denmark,Vitality,35731.0,50.6,31422.0,1.14,77.5,3.2,1867.0,48561.0,0.74,0.14,0.65,0.09,0.09,01.09
nex,Johannes Maget,Germany,No team,21063.0,51.5,18628.0,1.13,78.8,4.7,1074.0,28389.0,0.74,0.15,0.66,0.1,0.12,01.09
EliGE,Jonathan Jablonowski,United States,Liquid,30368.0,49.1,27497.0,1.1,83.5,4.1,1536.0,40235.0,0.75,0.16,0.68,0.1,0.12,01.09
valde,Valdemar Bjørn Vangså,Denmark,OG,23506.0,46.8,20748.0,1.13,80.2,4.9,1203.0,31927.0,0.74,0.14,0.65,0.1,0.1,01.09
Attacker,YuanZhang Sheng,China,TYLOO,23336.0,46.5,20684.0,1.13,79.6,2.3,1212.0,31160.0,0.75,0.14,0.66,0.11,0.12,01.09
Machinegun,Enkhtaivan Lkhagva,Mongolia,No team,7954.0,49.9,7277.0,01.09,81.4,3.1,410.0,10450.0,0.76,0.13,0.7,0.08,0.09,01.08
nukkye,Žygimantas Chmieliauskas,Lithuania,No team,11227.0,39.2,9897.0,1.13,78.3,2.6,592.0,15492.0,0.72,0.12,0.64,0.08,0.09,1.12
Summer,YuLun Cai,China,TYLOO,23036.0,48.8,20204.0,1.14,80.2,5.6,1219.0,31382.0,0.73,0.14,0.64,0.09,0.09,01.08
Hatz,Jordan Bajic,Australia,Renegades,16613.0,50.9,14556.0,1.14,77.9,5.0,902.0,22985.0,0.72,0.14,0.63,0.1,0.11,1.14
Xeppaa,Erick Bach,United States,No team,7145.0,53.7,6442.0,1.11,79.5,3.7,367.0,9519.0,0.75,0.14,0.68,0.11,0.14,1.13
fer,Fernando Alvarenga,Brazil,Last Dance,26474.0,45.0,23891.0,1.11,83.0,4.9,1352.0,35255.0,0.75,0.15,0.68,0.09,0.08,01.08
Savage,Bin Liu,China,TCG,15647.0,37.0,13721.0,1.14,78.2,5.5,836.0,21434.0,0.73,0.13,0.64,0.09,0.09,01.08
felps,João Vasconcellos,Brazil,GODSENT,19242.0,43.9,17626.0,01.09,84.7,3.5,984.0,25194.0,0.76,0.16,0.7,0.1,0.09,01.08
DJOXiC,Đorđe Niciforović,Serbia,GamerS1337,9002.0,29.8,7798.0,1.15,73.0,2.9,489.0,12531.0,0.72,0.1,0.62,0.09,0.1,01.08
Detrony,Dimitri Hadjipaschali,South Africa,No team,7633.0,34.7,6771.0,1.13,77.4,4.4,412.0,10449.0,0.73,0.13,0.65,0.1,0.09,01.08
keev,Kevin Bartholomäus,Germany,No team,11408.0,29.1,10191.0,1.12,73.6,2.8,594.0,15524.0,0.73,0.09,0.66,0.08,0.08,01.08
sergej,Jere Salo,Finland,GORILLAZ,14855.0,48.2,13039.0,1.14,79.3,4.0,776.0,20425.0,0.73,0.14,0.64,0.1,0.11,1.13
draken,William Sundin,Sweden,Savage,19552.0,31.0,17098.0,1.14,74.6,2.1,1028.0,27086.0,0.72,0.1,0.63,0.08,0.08,01.08
